Species,Diameter,Condition,Sidewalk_Condition,Borough,Longitude,Latitude
GLTR,5,Excellent,Good,Manhattan,-74.005883,40.714006
GLTR,7,Excellent,Good,Manhattan,-74.005883,40.714006
GLTR,3,Excellent,Good,Manhattan,-74.010627,40.716149
GLTR,6,Good,Good,Manhattan,-74.010731,40.716196
GLTR,5,Good,Good,Manhattan,-74.010836,40.716244
GLTR,5,Excellent,Good,Manhattan,-74.010836,40.716244
GLTR,5,Good,Good,Manhattan,-74.010836,40.716244
QUPA,8,Excellent,Good,Manhattan,-74.012281,40.71692
QUPA,6,Good,Good,Manhattan,-74.012281,40.71692
QUPA,5,Good,Good,Manhattan,-74.012281,40.71692
QUPA,6,Excellent,Good,Manhattan,-74.012281,40.71692
QUPA,5,Good,Good,Manhattan,-74.012281,40.71692
QUPA,4,Poor,Good,Manhattan,-74.012281,40.71692
QUPA,2,Good,Good,Manhattan,-74.012281,40.71692
QUPA,2,Good,Good,Manhattan,-74.012281,40.71692
QUPA,3,Good,Good,Manhattan,-74.012281,40.71692
QUPA,4,Poor,Good,Manhattan,-74.012281,40.71692
GLTR,3,Good,Good,Manhattan,-74.012281,40.71692
OSVI,4,Excellent,Good,Manhattan,-74.005823,40.714754
QURU,4,Excellent,Good,Manhattan,-74.012281,40.71692
OSVI,4,Excellent,Good,Manhattan,-74.005823,40.714754
OSVI,4,Excellent,Good,Manhattan,-74.005823,40.714754
OSVI,4,Excellent,Good,Manhattan,-74.005823,40.714754
GLTR,4,Excellent,Good,Manhattan,-74.012281,40.71692
OSVI,4,Excellent,Good,Manhattan,-74.005823,40.714754
OSVI,4,Excellent,Good,Manhattan,-74.005823,40.714754
OSVI,4,Excellent,Good,Manhattan,-74.005823,40.714754
QURU,3,Excellent,Good,Manhattan,-74.012281,40.71692
OSVI,4,Excellent,Good,Manhattan,-74.005823,40.714754
OSVI,4,Excellent,Good,Manhattan,-74.005823,40.714754
GLTR,3,Excellent,Good,Manhattan,-74.012281,40.71692
GLTR,3,Excellent,Good,Manhattan,-74.012281,40.71692
OSVI,4,Excellent,Good,Manhattan,-74.005823,40.714754
OSVI,4,Excellent,Good,Manhattan,-74.005823,40.714754
GLTR,3,Dead,Good,Manhattan,-74.012281,40.71692
OSVI,4,Excellent,Good,Manhattan,-74.005823,40.714754
QUPA,5,Excellent,Good,Manhattan,-74.012281,40.71692
QUPA,6,Excellent,Good,Manhattan,-74.012281,40.71692
QUPA,5,Excellent,Good,Manhattan,-74.012281,40.71692
QUPA,6,Excellent,Good,Manhattan,-74.012281,40.71692
QUPA,5,Excellent,Good,Manhattan,-74.012281,40.71692
QUPA,6,Excellent,Good,Manhattan,-74.01102,40.716033
QUPA,6,Excellent,Good,Manhattan,-74.01102,40.716033
QUPA,5,Poor,Good,Manhattan,-74.01102,40.716033
QUPA,4,Poor,Good,Manhattan,-74.01102,40.716033
GLTR,7,Excellent,Good,Manhattan,-74.01102,40.716033
GLTR,6,Excellent,Good,Manhattan,-74.01102,40.716033
GLTR,5,Excellent,Good,Manhattan,-74.01102,40.716033
GLTR,6,Excellent,Good,Manhattan,-74.01102,40.716033
GLTR,6,Excellent,Good,Manhattan,-74.01102,40.716033
GLTR,6,Excellent,Good,Manhattan,-74.01102,40.716033
GLTR,6,Excellent,Good,Manhattan,-74.01102,40.716033
GLTR,5,Excellent,Good,Manhattan,-74.011244,40.715203
GLTR,3,Good,Good,Manhattan,-74.011244,40.715203
GLTR,4,Good,Good,Manhattan,-74.011244,40.715203
GLTR,3,Good,Good,Manhattan,-74.011244,40.715203
GLTR,3,Good,Good,Manhattan,-74.011244,40.715203
GLTR,3,Good,Good,Manhattan,-74.011244,40.715203
GLTR,5,Good,Good,Manhattan,-74.011514,40.714287
GLTR,5,Good,Good,Manhattan,-74.011514,40.714287
GLTR,5,Good,Good,Manhattan,-74.011514,40.714287
GLTR,5,Good,Good,Manhattan,-74.011514,40.714287
GLTR,5,Good,Good,Manhattan,-74.011514,40.714287
GLTR,5,Good,Good,Manhattan,-74.011514,40.714287
GLTR,4,Good,Good,Manhattan,-74.011514,40.714287
GLTR,6,Good,Good,Manhattan,-74.010369,40.714086
GLTR,5,Good,Good,Manhattan,-74.010369,40.714086
GIBI,7,Excellent,Good,Manhattan,-74.010674,40.713713
GIBI,8,Excellent,Good,Manhattan,-74.010674,40.713713
GIBI,6,Excellent,Good,Manhattan,-74.010674,40.713713
GIBI,5,Dead,Good,Manhattan,-74.011889,40.71374
GIBI,6,Dead,Good,Manhattan,-74.011889,40.71374
GIBI,6,Poor,Good,Manhattan,-74.011889,40.71374
GIBI,5,Dead,Good,Manhattan,-74.011889,40.71374
GIBI,5,Dead,Good,Manhattan,-74.011889,40.71374
GIBI,6,Good,Good,Manhattan,-74.011889,40.71374
GIBI,5,Good,Good,Manhattan,-74.011889,40.71374
QUPA,9,Good,Good,Manhattan,-74.013076,40.714984
QUPA,8,Good,Good,Manhattan,-74.013076,40.714984
QUPA,10,Good,Good,Manhattan,-74.013076,40.714984
QUPA,8,Good,Good,Manhattan,-74.013076,40.714984
QUPA,9,Good,Good,Manhattan,-74.013076,40.714984
QUPA,9,Good,Good,Manhattan,-74.013076,40.714984
QUPA,8,Good,Good,Manhattan,-74.013076,40.714984
QUPA,7,Good,Good,Manhattan,-74.013076,40.714984
GIBI,5,Dead,Good,Manhattan,-74.013076,40.714984
GIBI,5,Dead,Good,Manhattan,-74.013076,40.714984
GIBI,6,Dead,Good,Manhattan,-74.013076,40.714984
GIBI,6,Dead,Good,Manhattan,-74.013076,40.714984
GIBI,7,Dead,Good,Manhattan,-74.013076,40.714984
GIBI,6,Excellent,Good,Manhattan,-74.013076,40.714984
GIBI,6,Excellent,Good,Manhattan,-74.013076,40.714984
GIBI,7,Poor,Good,Manhattan,-74.013076,40.714984
GIBI,4,Excellent,Good,Manhattan,-74.013076,40.714984
GIBI,7,Excellent,Good,Manhattan,-74.013076,40.714984
GIBI,5,Good,Good,Manhattan,-74.013076,40.714984
GIBI,5,Excellent,Good,Manhattan,-74.013076,40.714984
GIBI,4,Excellent,Good,Manhattan,-74.013076,40.714984
GIBI,5,Excellent,Good,Manhattan,-74.013076,40.714984
GIBI,4,Excellent,Good,Manhattan,-74.013076,40.714984
GIBI,5,Good,Good,Manhattan,-74.013076,40.714984
GIBI,5,Excellent,Good,Manhattan,-74.013076,40.714984
GIBI,4,Excellent,Good,Manhattan,-74.013076,40.714984
GLTR,7,Good,Good,Manhattan,-74.011115,40.714808
GLTR,7,Excellent,Good,Manhattan,-74.011115,40.714808
GLTR,6,Good,Good,Manhattan,-74.011115,40.714808
GLTR,6,Excellent,Good,Manhattan,-74.011115,40.714808
GLTR,6,Excellent,Good,Manhattan,-74.011115,40.714808
GLTR,6,Excellent,Good,Manhattan,-74.011115,40.714808
GLTR,6,Excellent,Good,Manhattan,-74.011115,40.714808
GLTR,6,Excellent,Good,Manhattan,-74.01047,40.714531
GLTR,5,Excellent,Good,Manhattan,-74.01047,40.714531
GLTR,6,Excellent,Good,Manhattan,-74.010363,40.714484
GLTR,6,Excellent,Good,Manhattan,-74.010255,40.714438
GLTR,6,Excellent,Good,Manhattan,-74.010533,40.715332
GLTR,6,Excellent,Good,Manhattan,-74.010533,40.715332
GLTR,5,Excellent,Good,Manhattan,-74.010902,40.715499
GLTR,6,Excellent,Good,Manhattan,-74.010902,40.715499
GLTR,3,Good,Good,Manhattan,-74.010993,40.71554
GLTR,7,Excellent,Good,Manhattan,-74.010993,40.71554
PLAC,24,Excellent,Good,Manhattan,-74.004846,40.721516
PLAC,19,Excellent,Good,Manhattan,-74.004543,40.722606
PLAC,16,Excellent,Good,Manhattan,-74.004543,40.722606
PLAC,16,Excellent,Good,Manhattan,-74.004543,40.722606
GIBI,9,Excellent,Good,Manhattan,-74.004543,40.722606
GIBI,9,Good,Good,Manhattan,-74.004543,40.722606
SOJA,3,Good,Good,Manhattan,-74.004602,40.722799
SOJA,3,Good,Good,Manhattan,-74.004602,40.722799
TICO,4,Excellent,Good,Manhattan,-74.003859,40.722431
TICO,4,Excellent,Good,Manhattan,-74.003859,40.722431
TICO,3,Excellent,Good,Manhattan,-74.003859,40.722431
SOJA,3,Good,Good,Manhattan,-74.003703,40.722459
QURU,6,Good,Good,Manhattan,-74.00342,40.722791
PLAC,7,Good,Good,Manhattan,-74.00342,40.722791
UNKSTMP,0,Stump,Good,Manhattan,-74.003373,40.722846
UNKSTMP,0,Stump,Good,Manhattan,-74.003373,40.722846
GIBI,5,Excellent,Good,Manhattan,-74.003278,40.722958
SOJA,7,Excellent,Good,Manhattan,-74.003134,40.723126
SOJA,8,Excellent,Good,Manhattan,-74.003093,40.723175
PYCA,5,Excellent,Good,Manhattan,-74.003043,40.723234
UNKSTMP,0,Stump,Good,Manhattan,-74.003195,40.723055
UNKDEAD,0,Dead,Good,Manhattan,-74.004604,40.723592
UNKDEAD,0,Dead,Good,Manhattan,-74.004604,40.723592
ACSA1,7,Excellent,Good,Manhattan,-74.004211,40.724255
SOJA,3,Excellent,Good,Manhattan,-74.004211,40.724255
GIBI,3,Excellent,Good,Manhattan,-74.004211,40.724255
GIBI,4,Excellent,Good,Manhattan,-74.004109,40.724377
TICO,6,Good,Good,Manhattan,-74.004057,40.724439
TICO,5,Excellent,Good,Manhattan,-74.004007,40.724499
PLAC,10,Poor,Good,Manhattan,-74.003904,40.724622
TICO,6,Excellent,Good,Manhattan,-74.00375,40.724806
PLAC,7,Excellent,Good,Manhattan,-74.00375,40.724806
SOJA,7,Excellent,Good,Manhattan,-74.003648,40.724928
ZESE,5,Excellent,Good,Manhattan,-74.003648,40.724928
ZESE,5,Good,Good,Manhattan,-74.003597,40.724988
UNKSTMP,0,Stump,Good,Manhattan,-74.003597,40.724988
PYCA,6,Good,Good,Manhattan,-74.003597,40.724988
GIBI,4,Good,Good,Manhattan,-74.003597,40.724988
PLAC,9,Excellent,Good,Manhattan,-74.003387,40.725255
PYCA,4,Excellent,Good,Manhattan,-74.003387,40.725255
PYCA,2,Excellent,Good,Manhattan,-74.003387,40.725255
SOJA,13,Excellent,Good,Manhattan,-74.003366,40.725245
SOJA,8,Excellent,Good,Manhattan,-74.003366,40.725245
GLTR,11,Excellent,Good,Manhattan,-74.002794,40.724966
GLTR,10,Excellent,Good,Manhattan,-74.002957,40.725045
GLTR,4,Excellent,Good,Manhattan,-74.003202,40.725165
GLTR,8,Excellent,Good,Manhattan,-74.003366,40.725245
SOJA,3,Good,Good,Manhattan,-74.003668,40.725367
SOJA,3,Good,Good,Manhattan,-74.003668,40.725367
SOJA,3,Poor,Good,Manhattan,-74.003668,40.725367
TICO,8,Excellent,Good,Manhattan,-74.004066,40.725374
ULAM,6,Poor,Good,Manhattan,-74.004534,40.724249
PYCA,4,Excellent,Good,Manhattan,-74.004534,40.724249
QURU,4,Excellent,Good,Manhattan,-74.004188,40.723958
ULAM,7,Excellent,Good,Manhattan,-74.004188,40.723958
AIAL,7,Excellent,Good,Manhattan,-74.004188,40.723958
ULAM,7,Good,Good,Manhattan,-74.004188,40.723958
UNKSTMP,0,Stump,Good,Manhattan,-74.004784,40.723634
ULAM,8,Good,Good,Manhattan,-74.004784,40.723634
PLAC,21,Excellent,Good,Manhattan,-74.005204,40.722502
ULAM,6,Good,Good,Manhattan,-74.005204,40.722502
PLAC,19,Excellent,Good,Manhattan,-74.005204,40.722502
PLAC,18,Excellent,Good,Manhattan,-74.005204,40.722502
ULAM,9,Good,Good,Manhattan,-74.005204,40.722502
GLTR,7,Excellent,Good,Manhattan,-74.003202,40.725165
PYCA,3,Excellent,Good,Manhattan,1,1
PYCA,3,Excellent,Good,Manhattan,1,1
PYCA,3,Excellent,Good,Manhattan,1,1
PYCA,3,Excellent,Good,Manhattan,1,1
ZESE,5,Poor,Good,Manhattan,-74.002006,40.724465
ZESE,5,Poor,Good,Manhattan,-74.002062,40.724398
SOJA,6,Excellent,Good,Manhattan,-74.002626,40.723728
SOJA,6,Excellent,Good,Manhattan,-74.002626,40.723728
ACSA1,5,Excellent,Good,Manhattan,-74.002546,40.723823
ACSA1,4,Excellent,Good,Manhattan,-74.002546,40.723823
PLAC,9,Excellent,Good,Manhattan,-74.006232,40.72313
PLAC,7,Excellent,Good,Manhattan,-74.006232,40.72313
PLAC,8,Excellent,Good,Manhattan,-74.006232,40.72313
PS,0,Planting Space,Good,Manhattan,-74.006232,40.72313
PYCA,10,Excellent,Good,Manhattan,-74.006703,40.722841
PYCA,7,Excellent,Good,Manhattan,-74.006703,40.722841
PYCA,11,Excellent,Good,Manhattan,-74.007555,40.723461
ZESE,4,Excellent,Good,Manhattan,-74.007555,40.723461
PS,0,Planting Space,Good,Manhattan,-74.007555,40.723461
ULAM,9,Good,Good,Manhattan,-74.005173,40.72257
ULAM,10,Good,Good,Manhattan,-74.005173,40.72257
CR,3,Excellent,Good,Manhattan,-74.005173,40.72257
PYCA,5,Good,Good,Manhattan,-74.005173,40.72257
ULAM,8,Excellent,Good,Manhattan,-74.005173,40.72257
CR,2,Excellent,Good,Manhattan,-74.005173,40.72257
CR,2,Excellent,Good,Manhattan,-74.005173,40.72257
PS,0,Planting Space,Good,Manhattan,-74.005173,40.72257
UNKDEAD,0,Dead,Good,Manhattan,-74.005173,40.72257
CR,2,Excellent,Good,Manhattan,-74.005173,40.72257
ULAM,11,Excellent,Good,Manhattan,-74.005173,40.72257
PLAC,20,Excellent,Good,Manhattan,1,1
PYCA,24,Excellent,Good,Manhattan,-74.005262,40.723669
ZESE,5,Poor,Good,Manhattan,-74.005641,40.723703
ZESE,4,Excellent,Good,Manhattan,-74.005641,40.723703
ZESE,4,Excellent,Good,Manhattan,-74.005641,40.723703
ZESE,4,Excellent,Good,Manhattan,-74.005869,40.723724
PYCA,9,Excellent,Good,Manhattan,-74.005869,40.723724
PYCA,8,Excellent,Good,Manhattan,-74.005908,40.724382
COMA,8,Excellent,Good,Manhattan,-74.005799,40.724365
COMA,9,Excellent,Good,Manhattan,-74.006017,40.724399
PYCA,10,Excellent,Good,Manhattan,-74.005662,40.724343
COMA,7,Excellent,Good,Manhattan,-74.005544,40.724325
PYCA,6,Excellent,Good,Manhattan,-74.005544,40.724325
PYCA,4,Excellent,Good,Manhattan,-74.005544,40.724325
PYCA,6,Excellent,Good,Manhattan,-74.005544,40.724325
PYCA,4,Excellent,Good,Manhattan,-74.004681,40.723899
PYCA,4,Excellent,Good,Manhattan,-74.004681,40.723899
PYCA,4,Excellent,Good,Manhattan,-74.004681,40.723899
ULAM,9,Excellent,Good,Manhattan,-74.004681,40.723899
ULAM,7,Poor,Good,Manhattan,-74.004681,40.723899
ULAM,9,Excellent,Good,Manhattan,-74.004066,40.725374
ULAM,5,Poor,Good,Manhattan,-74.004066,40.725374
