RecordId,Address,Zip_Original,Species,Diameter,Condition,Wires,Sidewalk_Condition,Support_Structure,Borough,Longitude,Latitude,Zip_New,CensusTract_2010,CensusBlock_2010,SegmentID,Spc_Common,Spc_Latin,Location
122,311 GREENWICH ST,10013,PYCA,8,Excellent,None,Good,None,Manhattan,-74.010861,40.716795,10013,21,2000,31537,"PEAR, CALLERY",PYRUS CALLERYANA,"(40.716795, -74.010861)"
123,311 GREENWICH ST,10013,PYCA,8,Excellent,None,Good,None,Manhattan,-74.010861,40.716795,10013,21,2000,31537,"PEAR, CALLERY",PYRUS CALLERYANA,"(40.716795, -74.010861)"
124,154 READE ST,10013,PYCA,5,Excellent,None,Good,None,Manhattan,-74.009918,40.716511,10013,39,4010,31543,"PEAR, CALLERY",PYRUS CALLERYANA,"(40.716511, -74.009918)"
125,154 READE ST,10013,PYCA,7,Excellent,None,Good,None,Manhattan,-74.009918,40.716511,10013,39,4010,31543,"PEAR, CALLERY",PYRUS CALLERYANA,"(40.716511, -74.009918)"
126,154 READE ST,10013,PYCA,5,Excellent,None,Good,None,Manhattan,-74.009918,40.716511,10013,39,4010,31543,"PEAR, CALLERY",PYRUS CALLERYANA,"(40.716511, -74.009918)"
127,152 READE ST,10013,PYCA,7,Excellent,None,Good,None,Manhattan,-74.009877,40.716492,10013,39,4010,31543,"PEAR, CALLERY",PYRUS CALLERYANA,"(40.716492, -74.009877)"
128,152 READE ST,10013,PYCA,6,Excellent,None,Good,None,Manhattan,-74.009877,40.716492,10013,39,4010,31543,"PEAR, CALLERY",PYRUS CALLERYANA,"(40.716492, -74.009877)"
129,134 READE ST,10013,PYCA,11,Excellent,None,Good,None,Manhattan,-74.009513,40.716327,10013,39,4010,31543,"PEAR, CALLERY",PYRUS CALLERYANA,"(40.716327, -74.009513)"
130,134 READE ST,10013,PYCA,10,Excellent,None,Good,None,Manhattan,-74.009513,40.716327,10013,39,4010,31543,"PEAR, CALLERY",PYRUS CALLERYANA,"(40.716327, -74.009513)"
131,134 READE ST,10013,PYCA,12,Excellent,None,Good,None,Manhattan,-74.009513,40.716327,10013,39,4010,31543,"PEAR, CALLERY",PYRUS CALLERYANA,"(40.716327, -74.009513)"
